Modèle,AUC,Recall,Precision,F1-Score,Coût métier,Temps (s)
LightGBM,0.7868078370408662,0.04511581067472306,0.5161290322580645,0.08297832932024449,47620,52.99052977561951
XGBoost,0.7837156146940177,0.03987915407854985,0.6265822784810127,0.07498579814429085,47788,64.1646134853363
RandomForest,0.7470618898502795,0.0,0.0,0.0,49650,115.3612744808197
LogisticRegression,0.5475262614875223,0.0014098690835850957,0.09859154929577464,0.0027799841143764893,49644,227.2726092338562
DummyClassifier,0.5,0.0,0.0,0.0,49650,0.01725172996520996
