Méthode,Recall,Precision,F1-Score,ROC-AUC,Coût Métier,Faux Négatifs,Faux Positifs
Baseline,0.0,0.0,0.0,0.7423232486079172,49650,4965,0
SMOTE,0.04390735146022155,0.2661782661782662,0.07538035961272475,0.688029464827826,48071,4747,601
RandomUnderSampler,0.6787512588116817,0.15867037054475258,0.2572126392917112,0.7441502370779443,33819,1595,17869
SMOTEENN,0.5377643504531722,0.1862054536578562,0.2766266058847907,0.7422972890820138,34619,2295,11669
